LicensePlate,Categories,DateEnacted,SpecialFee,DistributionOfSpecialFee,StatutoryAuthority,AdditionalRequirements,Notes,Url,Image,ImageUrl,ImageFile
"404 Error, content does not exist anymore",,,,,,,,https://buyfloridaspecialtyplates.com/specialty-license-plates/A-State-of-Vision-Florida-Specialty-License-Plate-p265873029,404_error_content_does_not_exist_anymore,https://www.buyfloridaspecialtyplates.com/wp-content/uploads/2020/11/endless_summer_florida_tag-153x300.jpg,images/404_error_content_does_not_exist_anymore.jpg
Adventist University,Universities,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Annual use fees go to Adventist University, for academic enhancement. These funds help Adventist University grow, expand and enhance the student experience. Are you a Adventist University alumni? Support your school and switch to this Specialty License Plate today!",https://buyfloridaspecialtyplates.com/specialty-license-plates/Adventist-University-Florida-Specialty-License-Plate-p542698847,adventist_university,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4608167041.jpg,images/adventist_university.jpg
Agricultural Education,,,25.00,,320.08058 Special Fee,,NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE.,https://buyfloridaspecialtyplates.com/specialty-license-plates/Agricultural-Education-Florida-Specialty-License-Plate-p265702947,agricultural_education,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4608163847.jpg,images/agricultural_education.jpg
Agriculture,,,25.00,,320.08058 Special Fee,,NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE.,https://buyfloridaspecialtyplates.com/specialty-license-plates/Agriculture-Florida-Specialty-License-Plate-p265847351,agriculture,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4608163982.png,images/agriculture.png
Alpha Kappa Alpha Sorority Divine Nine,,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. The revenue collected annually from the sale of Divine Nine specialty license plates will be distributed to the United Negro College Fund, Inc., for college scholarships for Florida residents attending Florida’s historically black colleges and universities; the Association to Preserve African American Society, History and Tradition, Inc.; and to the individual organizations outlined in section 320.08058(101)(b), F.S. to promote community awareness and action through educational, economic, and cultural service activities within the state.",https://buyfloridaspecialtyplates.com/specialty-license-plates/Alpha-Kappa-Alpha-Sorority-Divine-Nine-Florida-Specialty-License-Plate-p541916298,alpha_kappa_alpha_sorority_divine_nine,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4608126232.png,images/alpha_kappa_alpha_sorority_divine_nine.png
Alpha Phi Alpha Sorority Divine Nine,,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. The revenue collected annually from the sale of Divine Nine specialty license plates will be distributed to the United Negro College Fund, Inc., for college scholarships for Florida residents attending Florida’s historically black colleges and universities; the Association to Preserve African American Society, History and Tradition, Inc.; and to the individual organizations outlined in section 320.08058(101)(b), F.S. to promote community awareness and action through educational, economic, and cultural service activities within the state.",https://buyfloridaspecialtyplates.com/specialty-license-plates/Alpha-Phi-Alpha-Sorority-Divine-Nine-Florida-Specialty-License-Plate-p589951918,alpha_phi_alpha_sorority_divine_nine,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4608163999.png,images/alpha_phi_alpha_sorority_divine_nine.png
America The Beautiful,,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. The revenue collected annually from the sale of the America the Beautiful specialty license plate will be distributed to the America the Beautiful Fund for projects and programs teaching character, leadership, and service to Florida youth; the provision of supportive services and assistance to members of the military community; outdoor education advancing the ideal of self-sufficiency; wildlife conservation, including imperiled and managed species; the maintenance of historic or culturally important sites, buildings, structures, or objects; and the development and modification of playgrounds, recreational areas, or other outdoor amenities, including disability access.",https://buyfloridaspecialtyplates.com/specialty-license-plates/America-The-Beautiful-Florida-Specialty-License-Plate-p540445562,america_the_beautiful,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4608290292.png,images/america_the_beautiful.png
American Legion,Military,,25.00,,320.08058 Special Fee,,NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Organization website: www.Floridalegion.org Revenues go to the American Legion Department of Florida.,https://buyfloridaspecialtyplates.com/specialty-license-plates/American-Legion-Florida-Specialty-License-Plate-p243924086,american_legion,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4608285579.png,images/american_legion.png
Animal Friend,,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Funds are distributed to Florida Animal Friend, Inc ., for spay and neuter programs in the state. No more than 10% of the fees collected may be used for administrative costs directly associated with marketing and promotion of the Animal Friend license plate and distribution of funds. Funds received from the purchase of the Animal Friend license plate shall not be used for litigation.",https://buyfloridaspecialtyplates.com/specialty-license-plates/Animal-Friend-Florida-Specialty-License-Plate-p240474274,animal_friend,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4608290317.png,images/animal_friend.png
Aquaculture,Environmental,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Funds go to aquaculture research and education programs. Revenue is distributed to the Harbor Branch Oceanographic Institute Foundation, Inc. for aquaculture research and education programs.",https://buyfloridaspecialtyplates.com/specialty-license-plates/Aquaculture-Florida-Specialty-License-Plate-p240467665,aquaculture,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4608290332.png,images/aquaculture.png
Ave Maria University,Universities,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Annual use fees go to Ave Maria University, for academic enhancement. These funds help Ave Maria University grow, expand and enhance the student experience. Are you a Ave Maria University alumni? Support your school and switch to this Specialty License Plate today!",https://buyfloridaspecialtyplates.com/specialty-license-plates/Ave-Maria-University-Florida-Specialty-License-Plate-p542698352,ave_maria_university,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4608290366.png,images/ave_maria_university.png
